Település;Körzet;Év;Jogi_státusz;Nyaraló;Típus;Altípus;Panelprogram;Ingatlan_állapota;Építés_éve;Zárószint;Emelet;Tájolás;Kilátás;Lift;Lakáson_belüli_szintszám;Fűtés;Nettó_méret;Terasz_méret;Erkély_méret;Telek_méret;Telek_méret_mértékegysége;Szobaszám;Eladási_ár;Négyzetméterár
Miskolc;Belváros;2018;hasznalt;0;tarsashazi;csusztatott_zsalus;0;4;1985;3;3;D;utcai;0;0;hazkozponti;77;0;8.50;0;nm;3 + 2;15400000;200000.00
Kecskemét;Belváros;2018;uj;0;tarsashazi;tegla;0;5;2017;3;2;D;kertre_nezo;1;1;gaz_cirko;71.85;1.55;0;0;nm;3 + 0;35000000;487125.96
Szombathely;Belváros;2018;uj;0;tarsashazi;tegla;0;5;2019;4;földszint;NY;utcai;1;0;tavegyedi;68.76;0;8.74;0;nm;1 + 2;26500000;385398.49
Debrecen;Szabadság-telep;2018;hasznalt;0;csaladihaz;tegla;0;2;1960;;;NY;;0;0;gaz_konvektor;65;8;0;300;nm;2 + 0;10000000;153846.15
Debrecen;Belváros;2018;hasznalt;0;csaladihaz;tegla;0;2;1950;;;DNY;;0;0;gaz_konvektor;50;0;0;135;nm;2 + 0;9400000;188000.00
Miskolc;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;5;1960;4;földszint;D;utcai;0;0;gaz_konvektor;50;0;0;0;nm;2 + 0;15000000;300000.00
Nyíregyháza;Örökösföld;2018;hasznalt;0;tarsashazi;panel;0;3;1984;10;7;NY;utcai;1;0;hazkozponti;51;0;0;0;nm;2 + 0;10000000;196078.43
Pécs;Kertváros;2018;hasznalt;0;tarsashazi;panel;;4;1980;4;3;NY;udvari;0;0;tav;67;3;0;0;nm;3 + 0;13400000;200000.00
Miskolc;Diósgyőr;2018;hasznalt;0;tarsashazi;panel;0;3;1972;10;10;DNY;udvari;1;1;tav;54;0;2.60;0;nm;1 + 2;6670000;123518.52
Miskolc;Újgyőri főtér;2018;hasznalt;0;tarsashazi;tegla;0;4;1950;3;2;K;udvari;0;1;gaz_konvektor;59;0;5.40;0;nm;2 + 0;7650000;129661.02
Miskolc;Bulgárföld ;2018;hasznalt;0;tarsashazi;tegla;0;4;1960;4;3;NY;udvari;0;0;gaz_konvektor;61;0;4;0;nm;1 + 2;10600000;173770.49
Dunaújváros;Béke városrész;2018;hasznalt;0;csaladihaz;vegyesfalazatu;0;3;1950;;;NY;;0;0;gaz_konvektor;87;20;0;600;nm;3 + 0;9600000;110344.83
Pécs;Mecsekoldal;2018;hasznalt;0;csaladihaz;tegla;;3;1965;;;NY;;0;1;egyeb;45;0;0;1500;nm;1 + 1;2800000;62222.22
Székesfehérvár;Öreghegy;2018;hasznalt;0;sorhaz;tegla;0;4;1984;;;DNY;;0;1;gaz_cirko;104;0;0;400;nm;1 + 3;30000000;288461.54
Kecskemét;Belváros;2018;hasznalt;0;tarsashazi;tegla;0;5;2003;2;2;DNY;udvari;0;1;hazkozponti;39;0;0;0;nm;1 + 2;19900000;510256.41
