Település;Körzet;Év;Jogi_státusz;Nyaraló;Típus;Altípus;Panelprogram;Ingatlan_állapota;Építés_éve;Zárószint;Emelet;Tájolás;Kilátás;Lift;Lakáson_belüli_szintszám;Fűtés;Nettó_méret;Terasz_méret;Erkély_méret;Telek_méret;Telek_méret_mértékegysége;Szobaszám;Kiadási_ár;Négyzetméterár
Miskolc;Belváros;2019;uj;0;tarsashazi;tegla;0;5;2018;2;1;K;utcai;1;0;hazkozponti;66.16;0;5.7;0;nm;1 + 2;132310;1999.85
Debrecen;Libakert;2019;hasznalt;0;tarsashazi;tegla;0;4;1111;4;1;DNY;udvari;0;0;tavegyedi;55;0;4;;;1 + 1;77000;1400.00
Pécs;Rózsadomb;2019;hasznalt;0;tarsashazi;panel;1;5;1980;4;4;DNY;utcai;0;1;tavegyedi;58;0;0;;;2 + 1;90000;1551.72
Kecskemét;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;2006;4;3;DNY;udvari;1;0;gaz_cirko;75;0;8;;;3 + 0;170000;2266.67
Miskolc;Berekalja;2019;hasznalt;0;csaladihaz;tegla;0;5;2012;;;ÉK;;0;1;gaz_cirko;150;0;0;1140;nm;2 + 3;250000;20000.00
Tatabánya;Dózsakert;2019;hasznalt;0;tarsashazi;panel;0;4;1970;4;3;K;kertre_nezo;0;0;tavegyedi;54;0;0;;;2 + 0;100000;1851.85
Debrecen;Gerébytelep;2019;hasznalt;0;ikerhaz;tegla;0;3;1980;;;K;;0;0;gaz_cirko;90;0;0;400;nm;2 + 1;120000;1333.33
Debrecen;Belváros;2019;hasznalt;0;hazresz;tegla;0;3;1960;;;NY;;0;0;gaz_konvektor;22;0;0;503;nm;1 + 0;60000;2727.27
Kecskemét;Petőfiváros;2019;hasznalt;0;tarsashazi;tegla;0;4;2000;5;4;DNY;utcai;1;1;gaz_cirko;42.18;0;0;;;1 + 0;90000;2133.71
Dunaújváros;Római városrész;2019;hasznalt;0;tarsashazi;panel;1;4;1970;10;3;K;utcai;1;0;tav;35;0;0;;;1 + 1;60000;1714.29
Debrecen;Újkert;2019;hasznalt;0;tarsashazi;panel;0;4;1980;10;7;K;utcai;1;0;tavegyedi;44;0;4;;;1 + 1;100000;2272.73
Nagykanizsa;Belváros;2019;hasznalt;0;tarsashazi;panel;0;4;1980;10;9;ÉNY;utcai;1;0;hazkozponti_meresnelkul;51;0;0;;;2 + 0;60000;1176.47
Szeged;Móraváros;2019;hasznalt;0;tarsashazi;tegla;0;5;2000;2;1;DNY;utcai;0;0;gaz_cirko;56;0;0;;;2 + 0;100000;1785.71
Győr;Győr-Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;2014;4;3;NY;utcai;1;1;gaz_cirko;100;48;0;0;nm;4 + 0;385000;3850.00
Miskolc;Belváros;2019;uj;0;tarsashazi;tegla;0;5;2018;2;1;NY;utcai;1;0;hazkozponti;43.04;0;0;;;1 + 0;94688;2200.00
Székesfehérvár;Belváros;2019;hasznalt;0;tarsashazi;panel;1;3;1970;10;2;K;utcai;1;1;tavegyedi;62;0;0;;;3 + 0;130000;2096.77
Miskolc;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;4;1975;4;1;ÉK;utcai;0;1;gaz_konvektor;53;0;3.5;;;2 + 0;75000;1415.09
Zalaegerszeg;Belváros II.;2019;hasznalt;0;tarsashazi;tegla;0;4;1975;4;földszint;ÉNY;utcai;0;1;gaz_konvektor;53;0;4;;;2 + 0;90000;1698.11
Miskolc;Népkert;2019;hasznalt;0;tarsashazi;tegla;0;4;2012;3;2;DK;utcai;1;0;tavegyedi;54;22;0;;;2 + 0;120000;2222.22
Győr;Győrszabadhegy;2019;hasznalt;0;tarsashazi;panel;1;5;1980;10;6;NY;utcai;0;1;tavegyedi;53;0;0;;;2 + 0;100000;1886.79
Miskolc;Győri kapu;2019;hasznalt;0;tarsashazi;egyeb;0;3;1970;4;1;D;udvari;0;0;gaz_konvektor;54;0;3;;;2 + 0;60000;1111.11
Dunaújváros;Béke városrész;2019;hasznalt;0;tarsashazi;panel;1;3;1980;10;9;NY;utcai;1;0;tav;59;0;0;;;2 + 0;75000;1271.19
Kecskemét;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;5;2005;5;4;NY;utcai;1;1;hazkozponti;46;0;0;;;2 + 0;100000;2173.91
Kecskemét;Széchenyiváros;2019;hasznalt;0;tarsashazi;tegla;0;5;1973;4;2;D;utcai;0;1;gaz_konvektor;54;0;3.5;;;2 + 0;100000;1851.85
Kecskemét;Homokbánya;2019;hasznalt;0;tarsashazi;tegla;0;5;2018;4;1;NY;udvari;1;1;gaz_cirko;54;0;8;;;2 + 0;110000;2037.04
Kecskemét;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;4;1970;3;3;K;utcai;0;0;gaz_konvektor;48;4;4;;;2 + 0;100000;2083.33
Sopron;Belváros-külső;2019;hasznalt;0;tarsashazi;tegla;0;5;1995;2;2;DNY;kertre_nezo;1;1;gaz_cirko;75;12;16;;;3 + 0;170000;2266.67
Győr;Adyváros;2019;hasznalt;0;tarsashazi;panel;0;5;1975;10;10;K;utcai;1;1;hazkozponti;55;0;0;;;2 + 0;90000;1636.36
Pécs;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;4;2000;2;földszint;K;udvari;0;1;elektromos_cirko;48;0;0;;;2 + 0;90000;1875.00
Debrecen;Belváros;2019;hasznalt;0;tarsashazi;tegla;0;4;1952;3;2;K;udvari;0;1;gaz_konvektor;55;0;0;;;2 + 0;75000;1363.64
Kecskemét;Széchenyiváros;2019;hasznalt;0;tarsashazi;panel;0;4;1970;5;5;DK;udvari;0;0;tavegyedi;54;0;4;;;2 + 0;90000;1666.67
Kecskemét;Széchenyiváros;2019;hasznalt;0;tarsashazi;panel;0;4;1982;5;magasföldszint;DK;utcai;0;1;tav;33;0;0;;;1 + 0;70000;2121.21
Kecskemét;Széchenyiváros;2020;hasznalt;0;tarsashazi;panel;0;3;1983;10;7;D;utcai;1;1;tav;55;0;0;;;2 + 0;80000;1455.00
Debrecen;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;4;1965;3;2;K;udvari;0;0;gaz_konvektor;38;0;2;;;1 + 0;90000;2368.00
Szombathely;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;5;2000;3;3;NY;udvari;0;0;gaz_cirko;82;0;0;;;3 + 0;140000;1707.00
Kecskemét;Alsószéktó;2020;hasznalt;0;csaladihaz;tegla;0;3;1990;;;DNY;;0;0;vegyes_cserepkalyha;40;0;0;1600;nm;1 + 0;40000;1000.00
Debrecen;Belváros;2020;hasznalt;0;tarsashazi;tegla;0;4;1968;4;magasföldszint;D;udvari;0;0;gaz_cirko;54;0;0;;;2 + 0;100000;1852.00
Debrecen;Homokkert;2020;hasznalt;0;csaladihaz;tegla;0;3;1950;;;NY;;0;0;faszen_cserepkalyha;40;0;0;50;nm;2 + 0;60000;1500.00
